Role,Title,Company,Location,Salary,Description,Salary_Min,Salary_Max,Average_Salary
Software Engineer,Senior Software Engineer (Virtual),BOEING,"Maryland Heights, Saint Louis County",141465.86 - 141465.86,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",141465.86,141465.86,141465.86
Software Engineer,Software Engineer,NetApp,US,146252 - 146252,"About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the d...",146252,146252,146252
Software Engineer,Software Engineer,NetApp,US,143301.69 - 143301.69,"About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the d...",143301.69,143301.69,143301.69
Software Engineer,Principal Software Engineer,Fidelity Investments,"Merrimack, Hillsborough County",124732.39 - 124732.39,"Job Description: In this role on the Fixed Income Shared Services team, you will produce high-quality, testable code for trading, portfolio and resear...",124732.39,124732.39,124732.39
Software Engineer,Software Engineer–Developer (Virtual),BOEING,"Maryland Heights, Saint Louis County",114977.38 - 114977.38,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",114977.38,114977.38,114977.38
Software Engineer,Vehicle NETControl Software Sr. Engineer,American Honda Motor Co.,"Marysville, Union County",79708.91 - 79708.91,"What Makes a Honda, is Who makes a Honda Honda has a clear vision for the future, and it’s a joyful one. We are looking for individuals with the skill...",79708.91,79708.91,79708.91
Software Engineer,Principal Software Engineer,Fidelity Investments,"South Boston, Suffolk County",128343.86 - 128343.86,Job Description: Principal Full Stack Engineer The Role Fidelity’s Asset Management Division is seeking a Principal Full Stack Engineer to join their ...,128343.86,128343.86,128343.86
Software Engineer,Senior Software Engineer,Keurig Dr Pepper,"Prosper, Collin County",116078.68 - 116078.68,Job Overview: Senior Software Engineer What we are looking for: Keurig Dr Pepper is seeking a Senior Software Engineer who can support the development...,116078.68,116078.68,116078.68
Software Engineer,Software Engineers,PI Square Tech,"Farmington, Oakland County",91773.45 - 91773.45,"PI Square Technologies seeks Software Engineers. Primary worksite is Farmington Hills, MI but relocation is possible. Send resumes to 34405 W 12 Mile ...",91773.45,91773.45,91773.45
Software Engineer,Software Engineer,Juniper Networks,"Sunnyvale, Santa Clara County",109028.16 - 109028.16,"ENGINEERING- Juniper Networks in Sunnyvale, CA seeks Software Engineer: Develop and maintain python-based test automation framework from scratch by us...",109028.16,109028.16,109028.16
Software Engineer,Software Engineer,Softworld Inc,"Montgomery Village, Montgomery County",56444.73 - 56444.73,Job Title: Software Engineer Job Location: Germantown MD 20876 Onsite Requirements: ACTIVE Secret Clearance Software Development in C/C++ and automati...,56444.73,56444.73,56444.73
Software Engineer,Software Engineer,A-Line Staffing Solutions,"Sparks, Baltimore County",107805.22 - 107805.22,"Title: Software Engineer Location: Sparks, MD Note: This is a W2 contract role; C2C & 3rd party candidates WILL NOT be considered As a Software Engine...",107805.22,107805.22,107805.22
Software Engineer,Software Engineer,AMSYS Innovative Solutions LLC,"Austin, Travis County",83630.51 - 83630.51,Skills/Responsibilities: Experience with Software as a Service (SaaS) and/or Platform as a Service (PaaS) environments Experience as a Software Engine...,83630.51,83630.51,83630.51
Software Engineer,Software Engineer - Developer (Associate or Experienced),BOEING,"Kinloch, Saint Louis County",98230.91 - 98230.91,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",98230.91,98230.91,98230.91
Software Engineer,Software Engineers,TEKASSEMBLY CORP,"Libertyville, Lake County",113821.8 - 113821.8,"tekAssembly Corp has openings for Software Engineers. Job Description: Gather, analyze, design, write code, document, customize, maintain, test, and m...",113821.8,113821.8,113821.8
Software Engineer,SOFTWARE ENGINEERS:,"Applab Systems, Inc.","Princeton, Mercer County",147972.72 - 147972.72,"SOFTWARE ENGINEERS: Princeton, NJ & various unanticipated locations throughout the U.S.: JOB(986): Dsgn, dvlp, test & dply Mlti-Prtcl Gtwy Intrfcs on ...",147972.72,147972.72,147972.72
Software Engineer,"Senior Manager, Software Engineering",Fidelity Investments,"Durham, Durham County",125078.66 - 125078.66,"Job Description: Job Description Summary As Chapter Leader - Senior Manager, you will blend engineering knowledge and experience with a passion for co...",125078.66,125078.66,125078.66
Software Engineer,Senior Software Engineer,Keurig Dr Pepper,"Prosper, Collin County",122623.63 - 122623.63,"Job Overview: Senior Software Engineer Keurig Dr Pepper is seeking a S enior S oftware Engineer who can support the development, enhancements, and mai...",122623.63,122623.63,122623.63
Software Engineer,Senior Software Engineer,Keurig Dr Pepper,"Prosper, Collin County",117306.05 - 117306.05,Job Overview: Senior Software Engineer What we are looking for: Are you passionate about leveraging data to drive business value? Keurig Dr Pepper is ...,117306.05,117306.05,117306.05
Software Engineer,Senior Software Engineer,Royal Bank of Canada,"Minneapolis, Hennepin County",118969.75 - 118969.75,Job Summary Provides information on the detailed technical design and development of applications using existing and emerging technology platforms. Ap...,118969.75,118969.75,118969.75
Software Engineer,Software Engineer,"Align Technology, Inc.","Morrisville, Wake County",102856.69 - 102856.69,"At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whate...",102856.69,102856.69,102856.69
Software Engineer,Software Engineer,Corning,"Fairport, Monroe County",100994.8 - 100994.8,Corning is vital to progress – in the industries we help shape and in the world we share. We invent life-changing technologies using materials science...,100994.8,100994.8,100994.8
Software Engineer,Software Engineer,Johnson & Johnson,"Raritan, Somerset County",143185.02 - 143185.02,"At Johnson & Johnson, we believe health is everything. Our strength in healthcare innovation empowers us to build a world where complex diseases are p...",143185.02,143185.02,143185.02
Software Engineer,Software Engineer,Yext,"Grand Central, Manhattan",104958.6 - 104958.6,"Yext (NYSE: YEXT) is the leading digital presence platform for multi-location brands, with thousands of customers worldwide. With one central platform...",104958.6,104958.6,104958.6
Software Engineer,Software Engineer,BGC Partners,"Grand Central, Manhattan",158589.19 - 158589.19,Position Summary: The Software Engineer will contribute to the development and ongoing enhancement of BGC Group’s top-ranked institutional fixed-incom...,158589.19,158589.19,158589.19
Software Engineer,Software Engineer,Dentsply Sirona,"Bee Cave, Travis County",132742.62 - 132742.62,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",132742.62,132742.62,132742.62
Software Engineer,Software Engineer,Dentsply Sirona,"Elkins Park, Montgomery County",142885.73 - 142885.73,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",142885.73,142885.73,142885.73
Software Engineer,Software Engineer,Dentsply Sirona,"Trammells, Harris County",137729.77 - 137729.77,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",137729.77,137729.77,137729.77
Software Engineer,Software Engineer,Dentsply Sirona,US,162978.77 - 162978.77,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",162978.77,162978.77,162978.77
Software Engineer,Software Engineer,Dentsply Sirona,"Textile Finance, Los Angeles County",148962.16 - 148962.16,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",148962.16,148962.16,148962.16
Software Engineer,Software Engineer,Dentsply Sirona,"Hayes Valley, San Francisco",151064 - 151064,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",151064,151064,151064
Software Engineer,Software Engineer,Dentsply Sirona,"San Diego, San Diego County",142091.75 - 142091.75,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",142091.75,142091.75,142091.75
Software Engineer,Software Engineer,Dentsply Sirona,"South Boston, Suffolk County",155451.38 - 155451.38,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",155451.38,155451.38,155451.38
Software Engineer,Software Engineer,Dentsply Sirona,"Washington, Washington, D.C.",152305.16 - 152305.16,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",152305.16,152305.16,152305.16
Software Engineer,Software Engineer,Dentsply Sirona,"Campbell, Santa Clara County",152602.34 - 152602.34,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",152602.34,152602.34,152602.34
Software Engineer,Software Engineer,Dentsply Sirona,"Northlake, DeKalb County",146831.55 - 146831.55,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",146831.55,146831.55,146831.55
Software Engineer,Software Engineer,Dentsply Sirona,"Highland Park, Dallas",150600.53 - 150600.53,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",150600.53,150600.53,150600.53
Software Engineer,Software Engineer,Dentsply Sirona,"Grand Central, Manhattan",141364.58 - 141364.58,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",141364.58,141364.58,141364.58
Software Engineer,Software Engineer,Dentsply Sirona,"Schiller Park, Cook County",146837.16 - 146837.16,"A smile can be transformative. Byte was founded on a commitment to improve access to orthodontic care through its affordable, easy-to-use, direct-to-c...",146837.16,146837.16,146837.16
Software Engineer,Principal Angular Software Engineer,Fidelity Investments,"South Boston, Suffolk County",137792.44 - 137792.44,Job Description: Fidelity Asset Management Solutions (FAMS) is looking for a Principal Angular Software Engineer to join a full stack dynamic engineer...,137792.44,137792.44,137792.44
Software Engineer,Principal Software Engineer,Fidelity Investments,"Merrimack, Hillsborough County",139740.55 - 139740.55,"Job Description: The Team Fidelity Asset Management Technology provides worldwide technology and support to all the Portfolio Management, Research, Tr...",139740.55,139740.55,139740.55
Software Engineer,Cloud Software Engineer,NetApp,"Hayes Valley, San Francisco",144111.64 - 144111.64,"About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the d...",144111.64,144111.64,144111.64
Software Engineer,Cloud Software Engineer,NetApp,"Campbell, Santa Clara County",145578.9 - 145578.9,"About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the d...",145578.9,145578.9,145578.9
Software Engineer,Cloud Software Engineer,NetApp,"Santa Clara, Santa Clara County",160201.56 - 160201.56,"About NetApp NetApp is the intelligent data infrastructure company, turning a world of disruption into opportunity for every customer. No matter the d...",160201.56,160201.56,160201.56
Software Engineer,Senior Software Engineer -Authentication/Messaging,Fidelity Investments,"Jersey City, Hudson County",143471.39 - 143471.39,"Job Description: Senior Software Engineer Role We are currently sourcing for a Senior Software Engineer for Crypto Trading to work in Jersey City, New...",143471.39,143471.39,143471.39
Software Engineer,Senior Software Engineer,ABBTECH Professional Resources,"Annapolis, Anne Arundel County",80886.96 - 80886.96,This program requires US Citizenship Position Description: We are seeking Senior Software Engineers. The Senior Software Engineers will play a crucial...,80886.96,80886.96,80886.96
Software Engineer,Vehicle Network Control Software Sr. Engineer,American Honda Motor Co.,"Marysville, Union County",76848.98 - 76848.98,"What Makes a Honda, is Who makes a Honda Honda has a clear vision for the future, and it’s a joyful one. We are looking for individuals with the skill...",76848.98,76848.98,76848.98
Software Engineer,Software Engineer III,RTA US,"Mountain View, Santa Clara County",122995.14 - 122995.14,"Job Description Job Description Our client, a Fortune 100 company is seeking a Software Engineer III. Apply today for consideration Job Title: Softwar...",122995.14,122995.14,122995.14
Software Engineer,Software Engineer III,GAMA-1 Technologies,"Silver Spring, Montgomery County",117185.62 - 117185.62,Job Description Job Description Summary The remote Software Engineer III designs and develops software applications. The Software Engineer III will re...,117185.62,117185.62,117185.62
Software Engineer,Software Engineer III,Black Creek Integrated Systems,"Birmingham, Jefferson County",77215.57 - 77215.57,Job Description Job Description Reasonable accommodation are available for qualified individuals with disabilities upon request. Essential Duties and ...,77215.57,77215.57,77215.57
Software Engineer,Software Engineer III,Johnson Health Tech Companies,"Cottage Grove, Dane County",88761.92 - 88761.92,Job Description Job Description Description: Position Overview: The Software Engineer III participates in the development of software for fitness cons...,88761.92,88761.92,88761.92
Software Engineer,Lead Software Engineer,"Wells Fargo Bank, N.A.","Concord, Contra Costa County",112453.58 - 112453.58,"LEAD SOFTWARE ENGINEER, Wells Fargo Bank, N.A., Concord, CA: Lead moderately complex initiatives and deliverables within technical domain environments...",112453.58,112453.58,112453.58
Software Engineer,Principal Software Engineer,Sabre GLBL Inc.,"South Lake, Tarrant County",137692.33 - 137692.33,"Sabre GLBL Inc. seeks FT Principal Software Engineer in Southlake, TX. Responsible for architecting, designing, building, and maintaining solutions in...",137692.33,137692.33,137692.33
Software Engineer,Senior Software Engineer,Blue River Technology,"Holy, Santa Clara County",151625.89 - 151625.89,"ENGINEERING Blue River Technology is seeking a Senior Software Engineer in Santa Clara, CA w/ the following responsibilities: Write software for real ...",151625.89,151625.89,151625.89
Software Engineer,Robotics Software Engineer,Blue River Technology,"Holy, Santa Clara County",152815.7 - 152815.7,"ENGINEERING Blue River Technology is seeking a Robotics Software Engineer in Santa Clara, CA w/ the following responsibilities: Write software for rea...",152815.7,152815.7,152815.7
Software Engineer,Software Engineer - Contractor,System One,"Bloomfield, Allegheny County",108589.42 - 108589.42,"Position Title: Software Engineer Position Location: Pittsburgh, PA hybrid - 3 days in office, 2 remotely Position Duration: 1 year Candidate Technica...",108589.42,108589.42,108589.42
Software Engineer,Embedded Software Engineer,ABL Automation Inc.,"Oak Creek, Milwaukee County",97945.32 - 97945.32,"Embedded Software Engineer (Oak Creek, WI) Design and implement software for embedded devices and systems from requirements to production and commerci...",97945.32,97945.32,97945.32
Software Engineer,Software Engineer/.Net,UV Group Inc,"Clifton Park, Saratoga County",91713.86 - 91713.86,"UV Group Inc has openings for the position Software Engineer/.Net with Master’s degree in Computer Science, Engineering(any), Technology or related an...",91713.86,91713.86,91713.86
Software Engineer,Software Engineer - Onsite,Viva USA Inc.,"Oak Grove, Rock Island County",101288.7 - 101288.7,"Title: Software Engineer - Onsite Mandatory skills: JavaScript, React, Redux, Node JS, AWS, Amazon Web Services Jenkins, TDD, CI/CD, Automated Testing...",101288.7,101288.7,101288.7
Software Engineer,Senior Software Engineers,HTC Global Services Inc,"Annapolis, Anne Arundel County",143616.77 - 143616.77,HTC Global Services wants you. Come build new things with us and advance your career. At HTC Global you'll collaborate with experts. You'll join succe...,143616.77,143616.77,143616.77
Software Engineer,Software Engineer Manager,Kavaliro,"Tallahassee, Leon County",89937.3 - 89937.3,"Kavaliro is seeking a Software Engineer Manager to support a client onsite in Tallahassee.Manager of ProgrammingSupervision of 4 BI Analysts, 3 App De...",89937.3,89937.3,89937.3
Software Engineer,"Lead, Software Engineer",The Northern Trust Company,"Schiller Park, Cook County",124366.78 - 124366.78,"The Northern Trust Company seeks a Lead, Software Engineer to design, develop, test, and deploy software applications and solutions. Develop triggers,...",124366.78,124366.78,124366.78
Software Engineer,"Lead, Software Engineering",The Northern Trust Company,"Schiller Park, Cook County",130850.62 - 130850.62,"The Northern Trust Company seeks a Lead, Software Engineering to design, build, and test software applications and solutions. Define technical system ...",130850.62,130850.62,130850.62
Software Engineer,Senior Software Engineer,"A and B Talent Acquisition, Inc..","Mccutchanville, Vanderburgh County",176034.94 - 176034.94,"Position Title: Senior Software Engineer Location: Evansville, IN Duration: 6 months contract Work Arrangement: Hybrid - 3 days per week in office Pay...",176034.94,176034.94,176034.94
Software Engineer,DSP Software Engineer,Softworld Inc,"Guadalupe, Maricopa County",57875.32 - 57875.32,"Job Title: DSP Engineer Job Location: Scottsdale, Arizona 85257 Onsite Requirements: Digital Signal Processing C++ RTOS Job Description: ROLE AND POSI...",57875.32,57875.32,57875.32
Software Engineer,Embedded Software Engineer,Sovereign Technologies,"Mossville, Peoria County",103318.85 - 103318.85,Job Description: Supports the electrification space with on machine software (electronic controllers that are on machine) and software with offboard a...,103318.85,103318.85,103318.85
Software Engineer,"Director, Software Engineering","Calix, Inc.","Holy, Santa Clara County",115967.38 - 115967.38,"ENGINEERING- Calix, Inc. in San Jose, CA Dir, Sw Engrng: Plan and oversee all aspects of sw engrng activities and projects within the globally distrib...",115967.38,115967.38,115967.38
Software Engineer,Software Engineers,L3Harris Technologies,"Fate, Rockwall County",80978.2 - 80978.2,L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared...,80978.2,80978.2,80978.2
Software Engineer,Motorsport Controls Software Engineer,Bosch Group Inc,"Farmington Hills, Oakland County",85874.27 - 85874.27,"Company Description At Bosch Innovation has been a thriving tradition for over 130 years. As a leading technology and services supplier, we seize glob...",85874.27,85874.27,85874.27
Software Engineer,Principal Angular Software Engineer,Fidelity Investments,"South Boston, Suffolk County",116662.44 - 116662.44,"Job Description: The Purpose of Your Role To be a part of the Money Market Technology Team, a group within Fidelity Investment Asset Management Techno...",116662.44,116662.44,116662.44
Software Engineer,"Manager, Software Engineering","Alphatec Holdings, Inc.","Carlsbad, San Diego County",175462.73 - 175462.73,"ATEC Spine has an exciting opportunity for a Manager of Software Engineering in Carlsbad, CA. The Manager of Software Engineering will lead the Softwa...",175462.73,175462.73,175462.73
Software Engineer,Principal Software Engineer,Leonardo DRS,"Hood College, Frederick County",148907.75 - 148907.75,"The Leonardo DRS Naval Electronics business provides leading naval computing infrastructure, network and data distribution and middleware enterprise s...",148907.75,148907.75,148907.75
Software Engineer,Senior Software Engineer,Dentsply Sirona,"South Waltham, Middlesex County",137671.6 - 137671.6,"Dentsply Sirona is the world’s largest manufacturer of professional dental products and technologies, with a 130-year history of innovation and servic...",137671.6,137671.6,137671.6
Software Engineer,Sr. Software Engineer,Stamford American International Hospital,"Stanford, Santa Clara County",201646.72 - 201646.72,"A Brief Overview The Sr. Software Engineer - Web Front-End is responsible for building, testing, and maintaining the front-end web applications at Sta...",201646.72,201646.72,201646.72
Software Engineer,"Director, Software Engineering",PepsiCo,"Plano, Collin County",207509.48 - 207509.48,PepsiCo is one of the worlds leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and belov...,207509.48,207509.48,207509.48
Software Engineer,Software Engineering Manager,PepsiCo,"Plano, Collin County",206978.42 - 206978.42,PepsiCo is one of the worlds leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and belov...,206978.42,206978.42,206978.42
Software Engineer,Senior Software Engineer,Splunk,"Hayes Valley, San Francisco",127667.07 - 127667.07,Splunk is here to build a safer and more resilient digital world. The worlds leading enterprises use our unified security and observability platform t...,127667.07,127667.07,127667.07
Software Engineer,Lead Software Engineer,PepsiCo,"Plano, Collin County",141013.4 - 141013.4,PepsiCo is one of the worlds leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and belov...,141013.4,141013.4,141013.4
Software Engineer,Director Software Engineering,Altice USA,"Minerva Park, Franklin County",178906.36 - 178906.36,"JuiceMedia.AI is the newest brand to our portfolio and here’s the squeeze. Juice is an emerging outcome focused, omni-channel customer acquisition pla...",178906.36,178906.36,178906.36
Software Engineer,Director Software Engineering,Altice USA,"Bethpage, Nassau County",252421.16 - 252421.16,"Are you looking to Optimize your life? Start your exciting path to a rewarding career today We are Optimum, a leader in the fast-paced world of connec...",252421.16,252421.16,252421.16
Software Engineer,Director of Software Engineering,Travelers,"Saint Paul, Ramsey County",160980.48 - 160980.48,"Who Are We? Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintaine...",160980.48,160980.48,160980.48
Software Engineer,Director of Software Engineering,Travelers,"Blue Hills, Hartford County",155208.42 - 155208.42,"Who Are We? Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintaine...",155208.42,155208.42,155208.42
Software Engineer,Senior Software Engineer,Microsoft,"Redmond, King County",209938.52 - 209938.52,"The mission for Microsoft AI organization (MAI) is to Inform, Support and Empower our consumers with responsible AI. As a part of Microsoft AI’s Engin...",209938.52,209938.52,209938.52
Software Engineer,Principal Software Engineer,Microsoft,"Hillsboro, Washington County",228141.83 - 228141.83,Do you want to be at the forefront of innovating the latest hardware and systems designs to propel Microsoft’s cloud growth? Are you seeking a unique ...,228141.83,228141.83,228141.83
Software Engineer,Principal Software Engineer,Microsoft,"Redmond, King County",231605.95 - 231605.95,Do you want to be at the forefront of innovating the latest hardware and systems designs to propel Microsoft’s cloud growth? Are you seeking a unique ...,231605.95,231605.95,231605.95
Software Engineer,Senior Software Engineer,Microsoft,"Raleigh, Wake County",174898.39 - 174898.39,"Microsoft Azure has been a pioneering leader in the innovation and adoption of confidential computing (CC) technology, which enables a new level of se...",174898.39,174898.39,174898.39
Software Engineer,Senior Software Engineer,Microsoft,"Redmond, King County",186226.67 - 186226.67,"Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Mi...",186226.67,186226.67,186226.67
Software Engineer,Senior Software Engineer,Microsoft,"Northlake, DeKalb County",179370.02 - 179370.02,"Microsoft Azure has been a pioneering leader in the innovation and adoption of confidential computing (CC) technology, which enables a new level of se...",179370.02,179370.02,179370.02
Software Engineer,Senior Software Engineer,Microsoft,"Redmond, King County",187086.81 - 187086.81,"Microsoft Azure has been a pioneering leader in the innovation and adoption of confidential computing (CC) technology, which enables a new level of se...",187086.81,187086.81,187086.81
Software Engineer,Principal Software Engineer,Microsoft,"San Diego, San Diego County",268570.25 - 268570.25,"Are you interested in working for one of the most impactful and emerging areas in Microsoft, and passionate in advancing Microsoft’s Cloud Solutions a...",268570.25,268570.25,268570.25
Software Engineer,Principal Software Engineer,Microsoft,"Textile Finance, Los Angeles County",281556.94 - 281556.94,"Are you interested in working for one of the most impactful and emerging areas in Microsoft, and passionate in advancing Microsoft’s Cloud Solutions a...",281556.94,281556.94,281556.94
Software Engineer,Principal Software Engineer,Microsoft,"Redmond, King County",289469.06 - 289469.06,"Are you interested in working for one of the most impactful and emerging areas in Microsoft, and passionate in advancing Microsoft’s Cloud Solutions a...",289469.06,289469.06,289469.06
Software Engineer,"Director, Software Engineering",Samsara,"Hayes Valley, San Francisco",206422.33 - 206422.33,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",206422.33,206422.33,206422.33
Software Engineer,"Director, Software Engineering",Samsara,"Textile Finance, Los Angeles County",203550.42 - 203550.42,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",203550.42,203550.42,203550.42
Software Engineer,"Director, Software Engineering",Samsara,"Schiller Park, Cook County",200645.95 - 200645.95,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",200645.95,200645.95,200645.95
Software Engineer,"Director, Software Engineering",Samsara,"Highland Park, Dallas",205789.22 - 205789.22,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",205789.22,205789.22,205789.22
Software Engineer,"Director, Software Engineering",Samsara,"Trammells, Harris County",188201.67 - 188201.67,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",188201.67,188201.67,188201.67
Software Engineer,"Director, Software Engineering",Samsara,"San Diego, San Diego County",194161.77 - 194161.77,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",194161.77,194161.77,194161.77
Software Engineer,"Director, Software Engineering",Samsara,"Bee Cave, Travis County",181387.14 - 181387.14,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",181387.14,181387.14,181387.14
Software Engineer,"Director, Software Engineering",Samsara,"Campbell, Santa Clara County",208524 - 208524,"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operatio...",208524,208524,208524
